npi,provider_first_name,provider_last_name,credential,specialty,group_practice,street_address,city,state,zip,phone,accepting_new_patients,plan_tiers_accepted,telehealth_available,languages_spoken,hospital_affiliation
1786579303,Linda,Johnson,MD,Neurology,Great Lakes Health System,2386 Oak Ave,Champaign,IL,61820,(289) 804-7912,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",Midwest Regional Medical Center
1642621108,Omar,Johnson,PA-C,Dermatology,University Health Associates,3711 University Ave,Decatur,IL,62521,(484) 206-3615,No,Gold,No,"English,Spanish",Midwest Regional Medical Center
1919795579,Margaret,Miller,DO,Endocrinology,Midwest Health Partners,5981 Medical Center Dr,Decatur,IL,62521,(470) 244-8527,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Prairie Community Hospital
1990566476,Yuki,Hall,MD,Dermatology,Midwest Health Partners,850 Park Blvd,Aurora,IL,60505,(281) 438-2654,No,Gold,Yes,"English,French",Prairie Community Hospital
1274648506,Sandra,Walker,MD,Urgent Care,Heartland Medical Associates,1269 Center Rd,Naperville,IL,60540,(746) 946-5010,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",N/A (outpatient only)
1838908273,Maria,Harris,DO,Plastic Surgery,SilverShield Medical Group,3852 Main St,Joliet,IL,60431,(610) 474-2084,Yes,"Bronze,Silver,Gold",No,"English,Spanish",N/A (outpatient only)
1636045484,Ashley,Chen,MD,Gastroenterology,Prairie Regional Medical,4140 Commerce St,Champaign,IL,61820,(469) 964-8019,No,Gold,Yes,"English,Spanish",University Medical Center
1629908599,Jennifer,Brown,DO,Cardiology,Prairie Regional Medical,7016 Center Rd,Chicago,IL,60601,(594) 590-8668,Yes,"Bronze,Silver,Gold",Yes,"English,French",N/A (outpatient only)
1222998994,Wei,Moore,DO,OB/GYN,Heartland Medical Associates,7223 Maple Dr,Peoria,IL,61602,(203) 939-5315,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",N/A (outpatient only)
1420452650,Aisha,Nelson,MD,Cardiology,Independent Practice,2746 Commerce St,Champaign,IL,61820,(200) 813-6310,No,"Bronze,Silver,Gold",Yes,"English,Mandarin",Prairie Community Hospital
1357109965,Patricia,Martin,MD,Pediatrics,Midwest Health Partners,8062 Oak Ave,Champaign,IL,61820,(984) 328-3103,No,"Bronze,Silver,Gold",Yes,"English,Mandarin",University Medical Center
1751325257,Dorothy,White,PA-C,Speech Therapy,Great Lakes Health System,5207 Health Plaza,Joliet,IL,60431,(648) 729-8397,Yes,"Silver,Gold",Yes,English,Prairie Community Hospital
1122585366,Fatima,Perez,MD,Infectious Disease,Great Lakes Health System,217 Oak Ave,Springfield,IL,62701,(434) 269-1514,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",N/A (outpatient only)
1621209849,Karen,Gonzalez,MD,Occupational Therapy,Community Care Clinic,4081 University Ave,Evanston,IL,60201,(394) 296-2588,No,Gold,Yes,English,Lake Shore Medical Center
1882839238,Patricia,Miller,MD,Endocrinology,Independent Practice,1890 Park Blvd,Rockford,IL,61101,(394) 749-8350,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Lake Shore Medical Center
1368227631,John,Kim,PA-C,OB/GYN,SilverShield Medical Group,8956 Main St,Chicago,IL,60601,(971) 442-3724,No,"Bronze,Silver,Gold",Yes,"English,Spanish",Lake Shore Medical Center
1162959284,David,King,MD,Endocrinology,Heartland Medical Associates,7554 Lake Shore Dr,Evanston,IL,60201,(913) 948-8973,Yes,"Silver,Gold",No,"English,Spanish",Springfield General Hospital
1721890096,Wei,Brown,DO,Internal Medicine,SilverShield Medical Group,9671 University Ave,Champaign,IL,61820,(743) 361-1931,Yes,"Silver,Gold",Yes,"English,Hindi",Springfield General Hospital
1825003955,Lisa,Patel,DO,Vascular Surgery,Great Lakes Health System,9585 Center Rd,Springfield,IL,62701,(834) 283-7868,Yes,Gold,Yes,"English,French",N/A (outpatient only)
1437352358,Lisa,Thompson,MD,Cardiology,Heartland Medical Associates,7591 Medical Center Dr,Chicago,IL,60601,(209) 669-2638,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Prairie Community Hospital
1242224154,Matthew,Jones,MD,Radiology,Heartland Medical Associates,2684 University Ave,Champaign,IL,61820,(920) 509-9666,Yes,"Bronze,Silver,Gold",No,"English,French",Springfield General Hospital
1244193987,Thomas,Davis,DO,Occupational Therapy,Prairie Regional Medical,4562 Lake Shore Dr,Decatur,IL,62521,(415) 934-6617,Yes,Gold,Yes,"English,Mandarin",Springfield General Hospital
1199104722,Dorothy,Moore,MD,Family Medicine,Independent Practice,2243 Lake Shore Dr,Naperville,IL,60540,(959) 652-8007,Yes,"Bronze,Silver,Gold",Yes,"English,French",Midwest Regional Medical Center
1685823118,Robert,Hall,MD,Nephrology,Prairie Regional Medical,7141 Maple Dr,Springfield,IL,62701,(515) 573-1653,Yes,"Silver,Gold",Yes,"English,French",Springfield General Hospital
1479759538,Maria,Gupta,MD,Occupational Therapy,Prairie Regional Medical,3978 Maple Dr,Naperville,IL,60540,(622) 225-3938,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Midwest Regional Medical Center
1945436943,Michael,King,MD,General Surgery,Community Care Clinic,3744 Park Blvd,Peoria,IL,61602,(558) 512-4728,Yes,"Bronze,Silver,Gold",Yes,English,Prairie Community Hospital
1399147754,John,Moore,DO,Emergency Medicine,University Health Associates,8885 Medical Center Dr,Springfield,IL,62701,(318) 467-3925,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Lake Shore Medical Center
1471178705,Daniel,Nguyen,MD,Urology,Midwest Health Partners,6411 Center Rd,Rockford,IL,61101,(460) 245-8144,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Lake Shore Medical Center
1175133802,Margaret,Carter,DO,Urgent Care,Midwest Health Partners,5020 Commerce St,Aurora,IL,60505,(882) 618-6344,No,Gold,Yes,"English,Spanish",Lake Shore Medical Center
1813962536,Anthony,Thomas,MD,Infectious Disease,Heartland Medical Associates,6753 Commerce St,Springfield,IL,62701,(511) 493-4443,No,"Bronze,Silver,Gold",No,English,Lake Shore Medical Center
1574765466,Karen,Hernandez,NP,Allergy & Immunology,Prairie Regional Medical,1489 Lake Shore Dr,Champaign,IL,61820,(879) 848-6491,Yes,"Silver,Gold",No,"English,Spanish",Midwest Regional Medical Center
1258220114,Mary,Williams,MD,Ophthalmology,Midwest Health Partners,7561 Health Plaza,Decatur,IL,62521,(399) 935-7291,No,"Bronze,Silver,Gold",Yes,"English,Spanish",N/A (outpatient only)
1838328947,James,Miller,MD,Neurology,Prairie Regional Medical,8586 University Ave,Springfield,IL,62701,(770) 455-2988,No,"Silver,Gold",Yes,"English,French",University Medical Center
1700141462,Omar,Clark,NP,Hematology,University Health Associates,9076 University Ave,Naperville,IL,60540,(961) 686-8373,Yes,"Silver,Gold",No,"English,Spanish,Portuguese",University Medical Center
1620332086,Lisa,Moore,NP,Pediatrics,Heartland Medical Associates,3941 Lake Shore Dr,Joliet,IL,60431,(527) 753-2320,Yes,"Silver,Gold",Yes,English,N/A (outpatient only)
1264073400,Karen,Jones,MD,Pulmonology,Independent Practice,8990 University Ave,Evanston,IL,60201,(263) 411-7883,No,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",University Medical Center
1508431021,Priya,Smith,DO,Psychiatry,University Health Associates,6965 Commerce St,Champaign,IL,61820,(817) 425-8999,Yes,Gold,Yes,English,Springfield General Hospital
1517532243,Margaret,Patel,MD,Plastic Surgery,Community Care Clinic,2191 Center Rd,Champaign,IL,61820,(227) 603-1444,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish,Portuguese",Lake Shore Medical Center
1295130056,Patricia,Thompson,MD,Oncology,Great Lakes Health System,7549 Medical Center Dr,Joliet,IL,60431,(979) 588-5558,No,Gold,Yes,English,Springfield General Hospital
1904258674,Wei,Brown,DO,Neurology,Midwest Health Partners,759 Main St,Rockford,IL,61101,(404) 220-3496,Yes,"Silver,Gold",Yes,"English,French",Springfield General Hospital
1705557720,Karen,Chen,MD,Speech Therapy,Independent Practice,2849 Center Rd,Decatur,IL,62521,(965) 935-2876,Yes,Gold,Yes,"English,Hindi",Springfield General Hospital
1434961542,Carlos,King,MD,Physical Therapy,Great Lakes Health System,1345 Center Rd,Rockford,IL,61101,(304) 913-5941,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",University Medical Center
1559967386,Sandra,Jones,PA-C,Emergency Medicine,Independent Practice,307 Health Plaza,Peoria,IL,61602,(308) 643-6934,No,"Silver,Gold",Yes,"English,Spanish",N/A (outpatient only)
1660221300,Nancy,Carter,PA-C,Speech Therapy,Community Care Clinic,7716 Health Plaza,Decatur,IL,62521,(474) 530-5022,Yes,Gold,Yes,"English,Spanish",Lake Shore Medical Center
1711871397,Yuki,King,DO,Family Medicine,Community Care Clinic,5425 Maple Dr,Peoria,IL,61602,(417) 563-5232,Yes,Gold,No,"English,Hindi",Springfield General Hospital
1654724287,Richard,Garcia,MD,Occupational Therapy,University Health Associates,8104 Commerce St,Rockford,IL,61101,(907) 687-9041,No,"Bronze,Silver,Gold",Yes,"English,Mandarin",Midwest Regional Medical Center
1534222401,Lisa,Allen,MD,Radiology,Community Care Clinic,9168 Commerce St,Joliet,IL,60431,(635) 963-6419,Yes,"Bronze,Silver,Gold",No,"English,Mandarin",Prairie Community Hospital
1347538338,Linda,Jackson,DO,OB/GYN,Prairie Regional Medical,3238 Park Blvd,Peoria,IL,61602,(483) 941-9595,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Midwest Regional Medical Center
1487493096,Susan,Allen,MD,Physical Therapy,Prairie Regional Medical,4594 Main St,Springfield,IL,62701,(766) 499-3068,No,"Bronze,Silver,Gold",Yes,"English,Hindi",Prairie Community Hospital
1604011128,Priya,Kim,DO,Orthopedics,SilverShield Medical Group,4236 University Ave,Chicago,IL,60601,(266) 610-9056,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",Midwest Regional Medical Center
1970957171,Carlos,Allen,DO,Neurology,Midwest Health Partners,9243 Health Plaza,Decatur,IL,62521,(810) 833-4697,No,"Bronze,Silver,Gold",Yes,"English,Mandarin",University Medical Center
1560452529,Betty,Wilson,MD,Internal Medicine,Midwest Health Partners,3504 Park Blvd,Aurora,IL,60505,(876) 283-3573,Yes,"Silver,Gold",Yes,"English,Spanish",Springfield General Hospital
1538642403,Donald,Nelson,NP,Psychiatry,SilverShield Medical Group,3892 Lake Shore Dr,Aurora,IL,60505,(919) 664-2166,Yes,Gold,Yes,English,Springfield General Hospital
1684719405,Joseph,Taylor,MD,Plastic Surgery,Prairie Regional Medical,1269 Main St,Naperville,IL,60540,(514) 809-5728,No,"Bronze,Silver,Gold",Yes,"English,French",Prairie Community Hospital
1851333320,Ashley,Moore,PA-C,Nephrology,Community Care Clinic,7272 Oak Ave,Decatur,IL,62521,(240) 642-6280,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",N/A (outpatient only)
1997603725,Carlos,Scott,MD,Speech Therapy,Heartland Medical Associates,9541 Main St,Naperville,IL,60540,(681) 731-8245,Yes,"Silver,Gold",Yes,"English,French",Lake Shore Medical Center
1197970787,Priya,Walker,MD,Oncology,Independent Practice,1813 Maple Dr,Joliet,IL,60431,(621) 910-9117,Yes,"Bronze,Silver,Gold",Yes,English,Springfield General Hospital
1437710224,Thomas,Clark,DO,Speech Therapy,University Health Associates,8531 Main St,Champaign,IL,61820,(673) 623-1888,Yes,"Bronze,Silver,Gold",No,"English,Hindi",Lake Shore Medical Center
1771527524,Donald,Brown,MD,Gastroenterology,Prairie Regional Medical,4819 University Ave,Peoria,IL,61602,(324) 229-4920,Yes,Gold,Yes,"English,Hindi",Lake Shore Medical Center
1200082623,Joseph,Davis,NP,OB/GYN,Prairie Regional Medical,8265 Lake Shore Dr,Champaign,IL,61820,(922) 479-7807,No,"Bronze,Silver,Gold",Yes,English,University Medical Center
1255308128,Anthony,Jackson,MD,Urology,Prairie Regional Medical,1243 Lake Shore Dr,Evanston,IL,60201,(548) 719-5377,Yes,Gold,No,"English,Spanish,Portuguese",University Medical Center
1722687986,Rahul,Taylor,NP,Nephrology,Community Care Clinic,5754 Medical Center Dr,Champaign,IL,61820,(981) 756-7180,No,Gold,Yes,"English,French",Midwest Regional Medical Center
1713963047,Anthony,Harris,MD,Internal Medicine,Independent Practice,7849 Health Plaza,Evanston,IL,60201,(879) 867-3492,No,"Bronze,Silver,Gold",Yes,"English,Hindi",University Medical Center
1456476596,Michael,Kim,DO,Urology,Community Care Clinic,351 Maple Dr,Evanston,IL,60201,(870) 358-2225,No,Gold,No,"English,Hindi",N/A (outpatient only)
1526794469,Jennifer,Lewis,PA-C,Endocrinology,Independent Practice,8094 Commerce St,Springfield,IL,62701,(832) 270-4846,Yes,"Silver,Gold",Yes,English,Springfield General Hospital
1916440738,Michael,Kim,MD,Physical Therapy,Heartland Medical Associates,574 Main St,Joliet,IL,60431,(257) 500-6873,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",University Medical Center
1542437192,Carlos,Thomas,MD,Orthopedics,Midwest Health Partners,6367 Center Rd,Rockford,IL,61101,(709) 797-3344,Yes,"Bronze,Silver,Gold",No,English,Prairie Community Hospital
1816014770,James,Chen,MD,Urgent Care,Prairie Regional Medical,1310 University Ave,Joliet,IL,60431,(801) 506-7951,Yes,"Bronze,Silver,Gold",No,"English,Spanish",Lake Shore Medical Center
1618840705,Michael,Martin,MD,Infectious Disease,Independent Practice,9517 Lake Shore Dr,Aurora,IL,60505,(222) 874-7484,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",N/A (outpatient only)
1633356861,Charles,Harris,MD,Allergy & Immunology,Independent Practice,3688 Park Blvd,Decatur,IL,62521,(456) 894-3240,Yes,"Bronze,Silver,Gold",No,"English,Spanish,Portuguese",Lake Shore Medical Center
1135824891,Fatima,Hall,MD,Pediatrics,Heartland Medical Associates,5452 Health Plaza,Naperville,IL,60540,(405) 335-9837,Yes,"Bronze,Silver,Gold",No,"English,Spanish,Portuguese",Midwest Regional Medical Center
1375919523,Priya,Young,DO,Allergy & Immunology,Midwest Health Partners,7773 Oak Ave,Naperville,IL,60540,(972) 431-7511,Yes,"Bronze,Silver,Gold",Yes,English,Prairie Community Hospital
1676140134,Linda,Chen,DO,Urgent Care,Heartland Medical Associates,9677 Health Plaza,Joliet,IL,60431,(310) 891-4830,No,"Bronze,Silver,Gold",No,"English,Hindi",Midwest Regional Medical Center
1795411453,John,Chen,MD,Emergency Medicine,University Health Associates,2011 Maple Dr,Springfield,IL,62701,(238) 511-9071,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Midwest Regional Medical Center
1517305280,Emily,Hall,PA-C,Pulmonology,Prairie Regional Medical,6897 Oak Ave,Peoria,IL,61602,(830) 617-5583,Yes,Gold,Yes,English,Lake Shore Medical Center
1353524015,Sandra,Miller,DO,Nephrology,Independent Practice,1092 Health Plaza,Aurora,IL,60505,(394) 325-8450,Yes,"Silver,Gold",Yes,English,Prairie Community Hospital
1361530104,William,Wilson,MD,Pediatrics,Great Lakes Health System,9707 Park Blvd,Rockford,IL,61101,(536) 992-3417,Yes,Gold,Yes,"English,Spanish",University Medical Center
1369137895,Susan,Davis,MD,Cardiology,SilverShield Medical Group,5969 Park Blvd,Decatur,IL,62521,(531) 216-3854,Yes,"Bronze,Silver,Gold",Yes,"English,French",Lake Shore Medical Center
1664880035,Linda,Jones,NP,Rheumatology,Independent Practice,8508 Center Rd,Chicago,IL,60601,(662) 715-4629,Yes,"Bronze,Silver,Gold",No,English,N/A (outpatient only)
1133447745,Patricia,Rodriguez,MD,Pulmonology,Midwest Health Partners,8132 University Ave,Chicago,IL,60601,(282) 529-3430,Yes,"Silver,Gold",No,"English,Hindi",N/A (outpatient only)
1728530544,Maria,Clark,MD,Hematology,Heartland Medical Associates,7533 Commerce St,Decatur,IL,62521,(640) 301-2874,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",Lake Shore Medical Center
1463925049,Emily,Patel,MD,Occupational Therapy,Midwest Health Partners,5220 Health Plaza,Joliet,IL,60431,(881) 461-7132,Yes,"Bronze,Silver,Gold",Yes,English,Springfield General Hospital
1200105056,Dorothy,Miller,DO,Allergy & Immunology,Prairie Regional Medical,9215 Main St,Decatur,IL,62521,(775) 775-6400,Yes,"Bronze,Silver,Gold",No,"English,Spanish,Portuguese",N/A (outpatient only)
1905611583,Dorothy,Brown,MD,Hematology,Heartland Medical Associates,5861 Oak Ave,Decatur,IL,62521,(719) 417-3535,No,"Silver,Gold",Yes,"English,Mandarin",University Medical Center
1494665673,Linda,Moore,MD,Neurology,University Health Associates,9290 Center Rd,Decatur,IL,62521,(891) 858-1430,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",N/A (outpatient only)
1918630985,Betty,Lewis,DO,Family Medicine,Prairie Regional Medical,2447 Center Rd,Evanston,IL,60201,(271) 345-1502,Yes,"Bronze,Silver,Gold",Yes,English,Lake Shore Medical Center
1587098457,Margaret,Anderson,DO,Psychiatry,Independent Practice,9399 Center Rd,Chicago,IL,60601,(253) 359-3579,Yes,"Bronze,Silver,Gold",No,English,N/A (outpatient only)
